sender,receiver,weight
guywwallace,FredWBaker,2
Tech_DrL,AECT,1
PaulineMuljana,gsa_aect,9
PaulineMuljana,ifenthaler,5
PaulineMuljana,nateturcotte22,1
gsa_aect,gsa_aect,4
emergeAfrica,emergeAfrica,3
emergeAfrica,tutaleni,1
LiuJh_Christie,LiuJh_Christie,1
LiuJh_Christie,ekowch,1
marshallgjones,michaelmgrant,1
marshallgjones,Profpatrice,1
TheIDMD,President_NCU,1
veletsianos,FakeBobGagne,1
AmyLomellini_ID,gsa_aect,4
JolieKennedy,randomor,1
EINS_Institute,opencontent,1
robmoore3,robmoore3,2
troman,tutaleni,2
MarcusChildress,michaelmgrant,1
NeumannKL,NeumannKL,1
DrTerriC,DrVirtuality,2
DrTerriC,hodgesc,1
DrTerriC,DrTerriC,1
DrTerriC,KWhiteheadLab,1
DrTerriC,arasbozkurt,1
DrTerriC,eGeeking,2
DrTerriC,LCHS_Physics,1
Captain_Fess,AECT,8
DrVirtuality,hodgesc,1
DrVirtuality,Captain_Fess,1
DrVirtuality,michaelmgrant,1
DrVirtuality,art_brownlow,1
FakeBobGagne,johnbrindletel,1
FakeBobGagne,AECT,1
FakeBobGagne,richardewest,1
ChangeIt4Better,hodgesc,2
DeLibrosCorazon,gravesle,2
AlyssaDepury,pazureka,1
TenaciousTan,yinbk,1
d_mulder,jennkepka,1
ISLT_FSU,ISLT_FSU,2
ISLT_FSU,MuratTurkEd,1
LearnEngage,michaelmgrant,1
LearnEngage,koubenec,1
tintinluo,PaulineMuljana,1
ericpaulrogers,KuiXiePHD,1
valarywithawhy,LearnEngage,1
nangur1,nicolapallitt,1
JenM,DrRossPerkins,2
DrSandraOK,edtechIITB,1
SmithShannonM,eme2040laurenv,1
SmithShannonM,DKSch,1
KSUITEC,WilsonInEdu,1
Stephsteph83,ksuiteach,3
dctrcurry,michaelmgrant,15
hajeen2040,nangur1,1
hajeen2040,bretsw,2
eme2040laurenv,SmithShannonM,1
Kadeshaaa_,DrVirtuality,1
quincyconley,art_brownlow,1
EmmaMMercier,LuEMLawrence,2
sjojackson,kariword,1
design4learn,JenM,1
LF_Hampton,hampthephd,1
tadousay,AECTTechTrends,1
tadousay,gsa_aect,1
tadousay,AECT,1
tadousay,JenM,1
tadousay,tadousay,1
tadousay,tedaect,1
lbukunAA,AECT,2
lbukunAA,EdTechOkstate,2
aectrtd,AECT,1
bretsw,professordaveme,1
bretsw,UHCOE,1
bretsw,GingerWatsonPhD,6
bretsw,spgreenhalgh,5
bretsw,rstudio,4
bretsw,veletsianos,1
bretsw,LaurenBagdy,2
bretsw,utexascoe,1
bretsw,ISLT_FSU,1
bretsw,steph_moore,1
bretsw,jrosenberg6432,1
AECT,jrosenberg6432,1
AECT,GingerWatsonPhD,1
AECT,AECT,93
AECT,francesmarg,1
AECT,LaurenBagdy,4
AECT,correia65,2
AECT,IndianaUniv,1
AECT,liujuhong,2
AECT,KSUITEC,2
AECT,SpringerEdu,2
AECT,kristaruggles,1
AECT,aect19,1
AECT,epsODU,2
AECT,Giacumo,1
AECT,edneuro,1
AECT,smreeves1,1
AECT,utahstateITLS,1
AECT,"NATO_ACT",1
AECT,khuett,1
AECT,adriannewilson_,1
AECT,github,3
AECT,ThomasLamey1,6
AECT,GeorgiaTech,1
AECT,UWF,1
AECT,AECTTechTrends,8
AECT,eromerohall,2
AECT,utexascoe,1
AECT,SpheroEdu,2
AECT,classcraftgame,1
AECT,spgreenhalgh,3
AECT,AllonsDanser,1
AECT,VVongkulluksn,2
AECT,Nelsmich,2
AECT,hawk_nathanA,2
AECT,KristenLearning,1
AECT,ge_xun,2
AECT,travelinedman,1
AECT,JoiMoore,1
AECT,camille_dd,2
AECT,edtechbsu,2
AECT,roycekimmons,1
AECT,SKEdTech,1
AECT,AlbertRitzhaupt,2
AECT,kiranbudhrani,2
AECT,opencontent,2
AECT,veletsianos,1
AECT,UNTsocial,1
AECT,ECNUER,1
AECT,zoom_us,1
AECT,AmeriCorps,1
AECT,edtech_prokes,1
AECT,plowenthal,2
AECT,NancyeBlackEdu,1
AECT,UofTampa,1
AECT,univmiami,1
AECT,MSU_EDD,1
AECT,IUSchoolofEd,1
AECT,fsu,1
AECT,SICET,3
AECT,ll351,1
AECT,TheMakerBit,2
AECT,ShengBo_Chen,1
AECT,DLResearchLab,1
AECT,AECTTIL,1
AECT,LuEMLawrence,1
AECT,edILLINOIS,1
AECT,UMNews,1
AECT,tintinluo,3
AECT,ConnectWise,1
AECT,jennird,1
AECT,caet,1
AECT,WestgateVegas,1
AECT,rajansock,1
AECT,HoyetHemphill,1
AECT,UofSCEducation,1
AECT,Flipgrid,1
AECT,okstate,1
AECT,"NASA",1
AECT,akesha,2
AECT,design4learn,1
AECT,rogerwagner,1
AECT,EdTechOkstate,1
AECT,andrewatawfik,2
AECT,amy_c_bradshaw,1
AECT,eAngelaBenson,1
AECT,jweeble,1
AECT,professordaveme,1
AECT,UHCOE,1
AECT,RobBranch,1
AECT,ksuiteach,1
SebLopJr,andrewatawfik,1
correia65,correia65,1
correia65,travelinedman,1
correia65,caranorth11,1
correia65,myramade,1
wavinya66,AECT,7
wavinya66,aectclt,3
wavinya66,aectdddivision,1
wavinya66,AmyLomellini_ID,1
wavinya66,SpringerEdu,1
koubenec,EdTech_UofSC,2
koubenec,nicolapallitt,1
koubenec,github,3
koubenec,Happy_Tao,1
koubenec,TAmankwatia,1
koubenec,AECTTechTrends,1
koubenec,GitHubDesktop,1
koubenec,chatfuel,1
koubenec,utahstateITLS,1
koubenec,"NATO_ACT",1
caranorth11,lxdify,2
caranorth11,yourskillshub,1
caranorth11,Quinnovator,1
caranorth11,roycekimmons,4
caranorth11,caranorth11,1
caranorth11,jachutchinson,2
caranorth11,AECTTechTrends,1
caranorth11,JenM,2
caranorth11,KristenLearning,1
caranorth11,GingerWatsonPhD,1
caranorth11,eromerohall,1
caranorth11,jmenglund03,1
Tech_DrL,RitaFennelly,1
Tech_DrL,WEHSLibrary,1
rstatstweet,eromerohall,1
PaulineMuljana,cppelearning,1
PaulineMuljana,calpolypomona,1
PaulineMuljana,aectrtd,1
PaulineMuljana,AECT,7
PaulineMuljana,AECTTechTrends,1
PaulineMuljana,plowenthal,2
PaulineMuljana,Flipgrid,1
PaulineMuljana,aac3,2
